主人公的红色！,主角的红色!
红色也有各种各样的东西,代表世界上也有很多种红色
贯彻自己的信念！,要贯彻自己的信念!
追加的自主锻炼,额外的自主训练
不能落后于流行啊,那我们可不能跟不上潮流呢
不，现在流行的是CD（cool down）！,不对，现在的流行是CD（缓和运动）！
舞蹈课,舞蹈练习
应该更加全力以赴,应该要更全力以赴
应该试着长时间保持,应该要长时间维持动作
小金船的！唐突的过去篇！,阿船的突然追忆过去篇!
再现一下当时的汤怎么样？,试着重现当时的汤头吧?
去那个时候的地方看看怎么样？,到当时的地方再看看吧?
特别的朋友？,珍藏的好朋友?
蔬菜最好吃,还是要吃蔬菜比较好
想做就做吧,照你想做的去做就好
幸运七,幸运7
孤高一人○,喜欢独处○
孤高一人◎,喜欢独处◎
为了保持体重,为了维持体重
坚持到比赛结束,乖乖忍耐到比赛结束
只跑吃的量就没问题,用跑步消耗多吃的部分就行了
有点想去的很棒的地方,想稍微绕去的美好场所
老老实实地走回去,乖乖走路回去
劝说换乘公共汽车回去,说服她转乘巴土坐回去
请保重！,保重身体!
練習上手○,擅长练习○
練習上手◎,擅长练习◎
練習下手,不擅练习
钻石的讲究,光钻的坚持
尽量老实点吧……,我们就尽量安分地等待吧……
会不会发生不幸，去确认一下吧！,我们去确认会不会发生不幸事件吧!
新年的抱负,新年抱负
增强能跑长途的力量吧！,锻炼出可以长距离奔跑的实力吧
今后一起考虑吧,接下来一起来思考吧
去巨蛋巡演吧！,来办巨蛋巡回吧！
小金船流约会,阿船流约会
我去买点饮料来,我去买饮料吧
延长赛！要做到胜利！,比延长赛！比到我赢为止！
掉的东西是？,掉了什么？
钢铁制的食品样品,钢铁制的食物样品
适配7G的超快速智能手机,支援7G的超快速手机
人情不为人,好心终会有好报
不快点治好的话,你要快点好起来喔
我可不能输给这种精神啊！,你可要比她还有活力才行喔!
一起打西瓜吧,一起玩劈西瓜
一起远游吧,一起长泳
只有你是绝对的,面对你时我绝不放弃
好难啊，最喜欢了！,最喜欢困难的事情！
好，试试看！,好，那就试试看吧！
先看看情况吧,稍微先确认一下情况吧
逃马踌躇,使领头迟疑
先马踌躇,使前列迟疑
差马踌躇,使居中迟疑
追马踌躇,使后追迟疑
吃了再确认魅力吧,先透过吃，重新了解它的魅力吧
掌握烹饪技巧吧,学习料理的技巧吧
想一想崭新的安排吧,想出崭新的口味吧
合宿期间打碎的西瓜数量,你在集训劈开的西瓜数量
合宿中捡到的蝉蜕数量,你在集训捡到蝉的空壳数量
最棒了！,太棒了！
再往上走！,往更高的目标迈进吧！
啊，友情,啊啊，友情
非常有力量！,是强而有力的歌声!
只是为正式演出做准备！,就只等正式上场了!
诶，我的打工…太糟糕了？,欸，我的打工……这么糟吗？
体力劳动！,做苦工!
炒面烹饪！,制作炒面!
对不起吃多了！,暴饮暴食无罪！
只推荐一个就足够了！,只吃推荐菜单就够了!
我明白了！,没问题!
第二天齐声嘶哑,隔天全都破嗓
用饮料来恢复吧！,喝饮料恢复体力吧!
想起那个锻炼的日子！,回想起辛苦锻炼的日子吧!
今天也很好！,你今天的表现也很好
我不会输的！,绝对不能输给她们!
下次一定会顺利的！,下次表现一定会更好!
肚脐也没办法！,沮丧也不是办法!
啊，故乡,啊啊，故乡
也许质量好的鞋子比较好,品质好的运动鞋或许不错
训练文稿似乎不错,训练用教科书或许不错
来，认真比赛！,来吧，认真笔试！
不，由我来代替吧,不，我代替你上吧
尊重她的意志,尊重她的意愿
建议练习中心,劝她练习中央位置的舞步
为了让它变得更加美丽☆,为了变得美丽☆
自己全力去碰撞什么的…？,自己主动全力迎击如何……？
以关西人那样的节奏和气势，之类的…？,像关西人一样顺势而为如何……？
实现愿望的圣诞色,能实现愿望的圣诞节配色
今后也要背负着大家的愿望奔跑！,之后也要背负着大家的愿望奔跑喔!
这件衣服很适合海地呢！,这套决胜服很适合素质喔!
不好吗？,有何不可？
又不是ガラ,我又不适合这种的
刚才看到的可爱的衣服是？,比起这个，你刚刚在看的可爱衣服呢？
一定要！但是朋友可以吗？,拜托你了！但朋友那边没关系吗？
……减肥不甜哦？,……减肥可不甜蜜喔？
不是很好吗~，不是很好吗~,有何不可~有何不可嘛~
不是机器人,并不是改造人
抑扬顿挫地说吧！,讲话注意抑扬顿挫!
花店的一页,在花店的-页
我帮你浇水吧？,我来帮你浇水吧?
我来献花吧？,我来帮你把花搬上架陈列吧?
无需问答的Marvelous☆,不由分说的美丽☆
最近没有力气,最近一直感到很无力
我想拿出更多的干劲来,我想要更有干劲
应该在沙滩上锻炼身体,应该在沙滩锻炼体干
施加精神上的负荷吧,再增加点精神负荷吧
最喜欢新的东西了！,最喜欢新东西！
用茶杯喝吗？,你要用茶杯喝吗 ?
甜瓜苏打是第一次？,你是第一次喝哈密瓜汽水吗 ?
希望优秀素质能健健康康,希望优秀素质身体健康
为了增加漂亮的自然风景的特长,希望优秀素质的特技能增加
……追加训练吧！,……来追加额外训练吧！
我们也全力休息吧,我们也要用尽全力好好休息
因为你很强所以我赢了,你会赢是因为你很强
说下次要以实力取胜,下次要说是靠自己的实力赢的
……大家能玩的游戏什么的？,……像是大家一起玩的游戏之类的 ?
大家一起捉迷藏！,大家一起玩鬼抓人!
映照出的思念,照映出的思绪
不试试看就不知道,不试试看怎么会知道
那么，我去！,那我去帮忙!
借体育馆跑吧！,借体育馆来训练吧!
做晴天娃娃吧！,来做晴天娃娃吧!
经常思考着锻炼吧！,谨慎思考后再进行训练!
以健康为志向，吃饭也很用心！,注重健康，注意饮食!
掌握一个超群的特技！,学会一项傲人的特技!
好开心！贴身采访！,愉快！贴身采访！
我是值得尊敬的理事长,是值得尊敬的理事长
似乎经常暴走,好像常常失控……
象暴风雨一样的帮手,如暴风雨般的救星
首先要研究作战计划,总之要先制订作战计划
真好啊！只有特训！,很好！只有特训一途了！
再自豪一点吧！,你可以更为自己感到骄傲喔！
满足于此吗？,这样你就满足了吗？
和教练员一样的知识,不下于训练员的知识
素质小姐和辛苦了的教练,素质小姐与辛苦的训练员
我真的很喜欢natu的歌,但我是真的喜欢素质的歌声
如果是这个歌声的话，演唱会也很棒呢！,有这副歌喉，演唱会也没问题了呢！
人太多了……,人潮很麻烦呢……
为了不输给潮流加油前进吧,不要输给人潮，努力推挤前进
看清潮流前进吧,看穿人潮的流向再向前进
需要验证、他人介入导致的偶发性,需要验证·他人介入所导致的偶然
跑步法,跑法
在兜风中,揪~四要酷炫兜风
陌生的街道,陌生街道
大街上的劲敌,大街上的强敌
走岔路,走小路吧
全力疾驰,全力冲刺过去
我才不怕呢！,才不怕呢！
两个人跑的话很快就到了,两个人一起跑的话很快就到了
可能会被妖怪埋伏在那里,说不定有鬼正在埋伏喔
微微苦涩的闪闪发光,微微苦涩的闪耀
不如说是开拓了道路,反倒是道路被拓宽了才对
逃跑的路我来准备,我来帮你规划逃跑路线
